id,provincia_id,nombre
315,45,Vitacura
316,46,Puente Alto
317,46,Pirque
318,46,San José De Maipo
319,47,Melipilla
320,47,María Pinto
321,47,Curacaví
322,47,Alhué
323,47,San Pedro
324,48,Talagante
325,48,El Monte
326,48,Isla De Maipo
327,48,Padre Hurtado
328,48,Peñaflor
329,49,Buin
330,49,Calera De Tango
331,49,Paine
332,49,San Bernardo
333,50,Colina
334,50,Lampa
335,50,Til Til
336,51,Valdivia
337,51,Corral
338,51,Lanco
339,51,Los Lagos
340,51,Mafil
341,51,Mariquina
342,51,Paillaco
343,51,Panguipulli
344,52,La Union
345,52,Futrono
346,52,Lago Ranco
347,52,Río Bueno
